Nummer,Gesetzlich_bis_Beh_Wartezeit_min,Gesetzlich_bis_Beh_Wartezeit_max,Gesetzlich_bis_Vorgespräch_Wartezeit_min,Gesetzlich_bis_Vorgespräch_Wartezeit_max,Vorgespräch_bis_Beh_min,Vorgespräch_bis_Beh_max,Privat_Wartezeit_min,Privat_Wartezeit_max
1,167,167,,,,,70,70
2,,,,,,,4,9
4,,,,,,,6,6
6,123,123,9,9,,,10,10
7,98,98,,,,,31,43
8,16,16,1,2,15,15,4,4
9,,,8,111,,,8,29
10,131,131,,,,,6,6
11,41,212,13,67,28,145,8,8
13,,,,,,,3,8
14,92,123,,,,,30,30
15,6,186,,,,,5,5
18,54,63,,,,,63,63
19,,,,,,,6,6
20,196,196,,,,,196,196
21,114,154,44,59,70,95,8,8
22,70,213,,,,,6,6
24,21,316,13,196,8,120,5,316
25,182,182,,,,,7,7
26,1,1,,,,,3,3
27,95,95,,,,,19,19
28,36,109,,,,,7,7
30,34,34,1,1,,,4,6
31,136,181,,,,,136,136
33,273,293,,,,,273,293
